model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,128,1.388,128,128,1616.149,91.297,92822.132,1.388,1.388,1386.364,1386.364,10.953,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,114.278,0.128,1.0,127.0,4127.0,4000,127.0,vllm,0.12.0,h200_sxm,0.0,1386.364
Qwen/Qwen3-32B-FP8,4000,1000,0,112,1.343,112,112,1599.51,82.438,83955.138,1.343,1.343,1341.737,1341.737,12.13,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,104.51,0.112,1.0,111.0,4111.0,4000,111.0,vllm,0.12.0,h200_sxm,0.0,1341.737
Qwen/Qwen3-32B-FP8,4000,1000,0,96,1.287,96,96,1582.889,73.617,75126.002,1.287,1.287,1285.869,1285.869,13.584,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,94.742,0.096,1.0,95.0,4095.0,4000,95.0,vllm,0.12.0,h200_sxm,0.0,1285.869
Qwen/Qwen3-32B-FP8,4000,1000,0,80,1.207,80,80,1566.548,65.283,66784.242,1.207,1.207,1206.12,1206.12,15.318,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,84.973,0.08,1.0,79.0,4079.0,4000,79.0,vllm,0.12.0,h200_sxm,0.0,1206.12
Qwen/Qwen3-32B-FP8,4000,1000,0,64,1.163,64,64,1550.106,54.041,55537.552,1.163,1.163,1161.587,1161.587,18.504,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,75.205,0.064,1.0,63.0,4063.0,4000,63.0,vllm,0.12.0,h200_sxm,0.0,1161.587
Qwen/Qwen3-32B-FP8,4000,1000,0,56,1.111,56,56,1541.125,49.4,50891.638,1.111,1.111,1109.834,1109.834,20.243,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,70.321,0.056,1.0,55.0,4055.0,4000,55.0,vllm,0.12.0,h200_sxm,0.0,1109.834
Qwen/Qwen3-32B-FP8,4000,1000,0,48,1.048,48,48,1532.144,44.766,46253.412,1.048,1.048,1047.425,1047.425,22.338,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,65.437,0.048,1.0,47.0,4047.0,4000,47.0,vllm,0.12.0,h200_sxm,0.0,1047.425
Qwen/Qwen3-32B-FP8,4000,1000,0,40,0.964,40,40,1466.044,40.461,41886.47,0.964,0.964,963.312,963.312,24.715,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,60.552,0.04,1.0,39.0,4039.0,4000,39.0,vllm,0.12.0,h200_sxm,0.0,963.312
Qwen/Qwen3-32B-FP8,4000,1000,0,64,1.816,64,64,955.205,34.633,35553.823,1.816,0.908,1814.006,907.003,28.874,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,40.473,0.064,1.0,63.0,4063.0,4000,63.0,vllm,0.12.0,h200_sxm,0.0,907.003
Qwen/Qwen3-32B-FP8,4000,1000,0,64,1.815,64,64,1576.311,33.997,35539.411,1.815,0.907,1812.974,906.487,29.414,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,40.87,0.032,2.0,62.0,8062.0,8000,62.0,vllm,0.12.0,h200_sxm,0.0,906.487
Qwen/Qwen3-32B-FP8,4000,1000,0,56,1.716,56,56,950.563,32.02,32938.097,1.716,0.858,1714.159,857.079,31.231,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,38.031,0.056,1.0,55.0,4055.0,4000,55.0,vllm,0.12.0,h200_sxm,0.0,857.079
