model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,8,0.511,8,8,601.137,14.83,15416.534,0.511,0.128,510.167,127.542,67.43,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,14.791,0.004,2.0,6.0,8006.0,8000,6.0,vllm,0.12.0,h200_sxm,0.0,127.542
Qwen/Qwen3-32B-FP8,4000,1000,0,14,0.918,14,14,470.214,14.652,15107.733,0.918,0.115,917.15,114.644,68.249,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,10.825,0.007,2.0,12.0,8012.0,8000,12.0,vllm,0.12.0,h200_sxm,0.0,114.644
Qwen/Qwen3-32B-FP8,4000,1000,0,1,0.066,1,1,434.869,14.896,15316.153,0.066,0.033,66.114,33.057,67.131,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,21.241,0.001,1.0,1.0,4000.0,4000,1.0,vllm,0.12.0,h200_sxm,0.0,33.057
