model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,2744,36.212,1,1,18,392,392,7,731.223,69.786,70447.437,36.212,1.132,36212.12,1131.629,14.33,2.462,5.623,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,140.236,vllm,0.12.0,h200_sxm,0.0,1131.629
Qwen/Qwen3-32B-FP8,4000,1000,0,124,2.216,1,1,1,124,124,1,731.223,49.293,49974.93,2.216,1.108,2215.8,1107.9,20.287,2.462,2.518,2,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,111.212,vllm,0.12.0,h200_sxm,0.0,1107.9
Qwen/Qwen3-32B-FP8,4000,1000,0,1700,33.237,1,1,15,100,100,17,731.223,44.458,45144.765,33.237,1.039,33237.0,1038.656,22.493,2.462,2.252,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,96.564,vllm,0.12.0,h200_sxm,0.0,1038.656
Qwen/Qwen3-32B-FP8,4000,1000,0,1152,31.021,1,1,14,128,128,9,731.223,32.031,32730.192,31.021,0.969,31021.2,969.413,31.22,2.462,4.0,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,59.67,vllm,0.12.0,h200_sxm,0.0,969.413
Qwen/Qwen3-32B-FP8,4000,1000,0,972,30.313,1,1,14,108,108,9,731.223,29.528,30229.695,30.313,0.947,30313.08,947.284,33.866,2.462,3.661,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,53.566,vllm,0.12.0,h200_sxm,0.0,947.284
Qwen/Qwen3-32B-FP8,4000,1000,0,720,26.59,1,1,12,144,144,5,731.223,24.499,25205.724,26.59,0.831,26589.6,830.925,40.819,2.462,5.884,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,35.001,vllm,0.12.0,h200_sxm,0.0,830.925
Qwen/Qwen3-32B-FP8,4000,1000,0,396,18.246,1,1,10,36,36,11,731.223,19.992,20703.231,18.246,0.57,18246.36,570.199,50.021,2.462,1.803,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,31.593,vllm,0.12.0,h200_sxm,0.0,570.199
Qwen/Qwen3-32B-FP8,4000,1000,0,384,17.726,1,1,8,128,128,3,731.223,19.709,20420.514,17.726,0.554,17726.4,553.95,50.737,2.462,6.501,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,18.98,vllm,0.12.0,h200_sxm,0.0,553.95
Qwen/Qwen3-32B-FP8,4000,1000,0,304,14.838,1,1,8,76,76,4,731.223,18.868,19580.355,14.838,0.618,14837.76,618.24,53.001,2.462,4.032,24,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,24.625,vllm,0.12.0,h200_sxm,0.0,463.68
Qwen/Qwen3-32B-FP8,4000,1000,0,272,13.999,1,1,8,68,68,4,731.223,17.894,18607.329,13.999,0.583,13998.72,583.28,55.886,2.462,3.804,24,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,23.404,vllm,0.12.0,h200_sxm,0.0,437.46
Qwen/Qwen3-32B-FP8,4000,1000,0,204,10.524,1,1,8,68,68,3,731.223,17.85,18563.373,10.524,0.329,10523.88,328.871,56.024,2.462,3.813,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,14.402,vllm,0.12.0,h200_sxm,0.0,328.871
Qwen/Qwen3-32B-FP8,4000,1000,0,160,8.666,1,1,4,32,32,5,731.223,16.998,17712.225,8.666,0.361,8666.4,361.1,58.83,2.462,1.884,24,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,17.911,vllm,0.12.0,h200_sxm,0.0,270.82500000000005
Qwen/Qwen3-32B-FP8,4000,1000,0,120,6.511,1,1,8,40,40,3,731.223,16.974,17688.249,6.511,0.203,6510.84,203.464,58.914,2.462,2.359,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,12.266,vllm,0.12.0,h200_sxm,0.0,203.464
Qwen/Qwen3-32B-FP8,4000,1000,0,77,4.437,1,1,4,11,11,7,731.223,15.975,16690.248,4.437,0.139,4437.16,138.661,62.596,2.462,0.689,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,14.706,vllm,0.12.0,h200_sxm,0.0,138.661
Qwen/Qwen3-32B-FP8,4000,1000,0,54,3.141,1,1,8,18,18,3,731.223,15.835,16550.388,3.141,0.098,3140.88,98.152,63.152,2.462,1.138,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,10.587,vllm,0.12.0,h200_sxm,0.0,98.152
Qwen/Qwen3-32B-FP8,4000,1000,0,42,2.586,1,1,8,14,14,3,731.223,14.949,15665.274,2.586,0.081,2586.12,80.816,66.896,2.462,0.937,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,10.282,vllm,0.12.0,h200_sxm,0.0,80.816
Qwen/Qwen3-32B-FP8,4000,1000,0,35,2.177,1,1,4,5,5,7,731.223,14.809,15525.414,2.177,0.068,2176.72,68.022,67.527,2.462,0.338,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,13.791,vllm,0.12.0,h200_sxm,0.0,68.022
Qwen/Qwen3-32B-FP8,4000,1000,0,30,1.984,1,1,8,10,10,3,731.223,13.914,14631.309,1.984,0.062,1984.44,62.014,71.87,2.462,0.719,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,9.977,vllm,0.12.0,h200_sxm,0.0,62.014
Qwen/Qwen3-32B-FP8,4000,1000,0,18,1.289,1,1,8,6,6,3,731.223,12.855,13573.368,1.289,0.04,1288.92,40.279,77.789,2.462,0.467,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,9.672,vllm,0.12.0,h200_sxm,0.0,40.279
Qwen/Qwen3-32B-FP8,4000,1000,0,3,0.243,1,1,8,1,1,3,731.223,11.38,12099.843,0.243,0.008,242.88,7.59,87.871,2.462,0.088,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,36.62,vllm,0.12.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,float16,fp8_block,half,9.29,vllm,0.12.0,h200_sxm,0.0,7.59
