model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,64,3.446,64,64,441.371,18.297,18720.459,3.446,0.861,3442.32,860.58,54.653,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,21.949,0.064,1.0,63.0,4063.0,4000,63.0,vllm,0.19.0,h200_sxm,0.0,860.58
Qwen/Qwen3-32B-FP8,4000,1000,0,64,3.408,64,64,741.002,18.188,18911.245,3.408,0.852,3404.796,851.199,54.98,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,22.254,0.032,2.0,62.0,8062.0,8000,62.0,vllm,0.19.0,h200_sxm,0.0,851.199
Qwen/Qwen3-32B-FP8,4000,1000,0,56,3.0,56,56,697.284,18.08,18759.566,3.0,0.75,2996.502,749.126,55.309,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,21.032,0.028,2.0,54.0,8054.0,8000,54.0,vllm,0.19.0,h200_sxm,0.0,749.126
Qwen/Qwen3-32B-FP8,4000,1000,0,48,2.856,48,48,440.628,16.528,16951.986,2.856,0.714,2852.796,713.199,60.504,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,19.506,0.048,1.0,47.0,4047.0,4000,47.0,vllm,0.19.0,h200_sxm,0.0,713.199
Qwen/Qwen3-32B-FP8,4000,1000,0,48,2.831,48,48,653.658,16.361,16998.672,2.831,0.708,2828.153,707.038,61.12,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,19.811,0.024,2.0,46.0,8046.0,8000,46.0,vllm,0.19.0,h200_sxm,0.0,707.038
Qwen/Qwen3-32B-FP8,4000,1000,0,40,2.417,40,40,423.747,16.271,16678.646,2.417,0.604,2414.13,603.532,61.458,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,18.285,0.04,1.0,39.0,4039.0,4000,39.0,vllm,0.19.0,h200_sxm,0.0,603.532
Qwen/Qwen3-32B-FP8,4000,1000,0,40,2.397,40,40,610.127,16.091,16684.774,2.397,0.599,2395.008,598.752,62.148,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,18.59,0.02,2.0,38.0,8038.0,8000,38.0,vllm,0.19.0,h200_sxm,0.0,598.752
Qwen/Qwen3-32B-FP8,4000,1000,0,32,2.147,32,32,379.406,14.616,14981.051,2.147,0.537,2145.168,536.292,68.417,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,17.063,0.032,1.0,31.0,4031.0,4000,31.0,vllm,0.19.0,h200_sxm,0.0,536.292
Qwen/Qwen3-32B-FP8,4000,1000,0,32,2.134,32,32,566.697,14.395,14946.869,2.134,0.534,2132.205,533.051,69.471,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,17.368,0.016,2.0,30.0,8030.0,8000,30.0,vllm,0.19.0,h200_sxm,0.0,533.051
Qwen/Qwen3-32B-FP8,4000,1000,0,28,1.886,28,28,545.028,14.246,14776.406,1.886,0.472,1884.386,471.096,70.197,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,16.758,0.014,2.0,26.0,8026.0,8000,26.0,vllm,0.19.0,h200_sxm,0.0,471.096
