model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,32,2.147,32,32,379.406,14.616,14981.051,2.147,0.537,2145.168,536.292,68.417,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,17.063,0.032,1.0,31.0,4031.0,4000,31.0,vllm,0.19.0,h200_sxm,0.0,536.292
Qwen/Qwen3-32B-FP8,4000,1000,0,48,3.227,48,48,424.86,14.5,14910.656,3.227,0.403,3223.731,402.966,68.964,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,12.154,0.024,2.0,46.0,8046.0,8000,46.0,vllm,0.19.0,h200_sxm,0.0,402.966
Qwen/Qwen3-32B-FP8,4000,1000,0,12,0.763,12,12,688.411,14.802,15475.608,0.763,0.382,762.684,381.342,67.558,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,24.271,0.006,2.0,10.0,8010.0,8000,10.0,vllm,0.19.0,h200_sxm,0.0,381.342
